CLAVE_ACCESO	RUC_EMISOR	RAZON_SOCIAL_EMISOR	FECHA_EMISION	Producto	Código	Cantidad	P. Unitario	Descuento	Total	Impuestos
1405202501179000750200120011000204083631111111110	1790007502001	SEGUROS EQUINOCCIAL S.A.	14/05/2025	PRIMA VIDA GRUPO	92883249	1.00	1.91	0.00	1.91	0.00
1405202501179000750200120011000204083631111111110	1790007502001	SEGUROS EQUINOCCIAL S.A.	14/05/2025	Contribucion Super Cias. 3.5%	2	1.00	0.07	0.00	0.07	0.00
1405202501179000750200120011000204083631111111110	1790007502001	SEGUROS EQUINOCCIAL S.A.	14/05/2025	Seguro Campesino 0 5%	3	1.00	0.01	0.00	0.01	0.00
1405202501099002245300120020020003034810030348110	0990022453001	COMPAÑIA DE SEGUROS ECUATORIANO SUIZA S.A.	14/05/2025	PRIMASEXCENTA	PRIMASEXCENTA	1	48.59	0	48.59	0
1405202501099002245300120020020003034810030348110	0990022453001	COMPAÑIA DE SEGUROS ECUATORIANO SUIZA S.A.	14/05/2025	SC	SC	1	0.24	0	0.24	0
1405202501099002245300120020020003034810030348110	0990022453001	COMPAÑIA DE SEGUROS ECUATORIANO SUIZA S.A.	14/05/2025	SB	SB	1	1.7	0	1.7	0
1405202501099002245300120020020003045350030453519	0990022453001	COMPAÑIA DE SEGUROS ECUATORIANO SUIZA S.A.	14/05/2025	PRIMASEXCENTA	PRIMASEXCENTA	1	52.87	0	52.87	0
1405202501099002245300120020020003045350030453519	0990022453001	COMPAÑIA DE SEGUROS ECUATORIANO SUIZA S.A.	14/05/2025	SC	SC	1	0.26	0	0.26	0
1405202501099002245300120020020003045350030453519	0990022453001	COMPAÑIA DE SEGUROS ECUATORIANO SUIZA S.A.	14/05/2025	SB	SB	1	1.85	0	1.85	0
1405202501171106367500120030040000323861234567812	1711063675001	ORTEGA PAREDES RUDHT ELENA	14/05/2025	PISO DREAM 45X45 2.25M. BRAS	BRA45830	7.4400	6.0000	5.82	38.82	5.82
1405202501099315216100125340010000626700006267017	0993152161001	TUTI	14/05/2025	SERVILLETAS	40000034	1.000000	0.430000	0.00	0.43	0.06
1405202501099315216100125340010000626700006267017	0993152161001	TUTI	14/05/2025	CLORO LÍQUIDO	40000663	1.000000	0.480000	0.00	0.48	0.07
1405202501099315216100125340010000626700006267017	0993152161001	TUTI	14/05/2025	PAPEL HIGIÉNICO DOBL	40000977	1.000000	1.210000	0.00	1.21	0.18
1405202501099315216100125340010000626700006267017	0993152161001	TUTI	14/05/2025	PAPEL HIGIÉNICO DOBL	40000977	1.000000	1.210000	0.00	1.21	0.18
1405202501099315216100125340010000626700006267017	0993152161001	TUTI	14/05/2025	DESINFECTANTE EUCALI	40001547	1.000000	0.740000	0.00	0.74	0.12
1405202501099315216100125340010000626700006267017	0993152161001	TUTI	14/05/2025	DESINFECTANTE EUCALI	40001547	1.000000	0.740000	0.00	0.74	0.12
1405202501099315216100125340010000626700006267017	0993152161001	TUTI	14/05/2025	DESINFECTANTE EUCALI	40001547	1.000000	0.740000	0.00	0.74	0.11
1405202501099315216100125340010000626700006267017	0993152161001	TUTI	14/05/2025	PASTA DENTAL TRIPLE	40001711	1.000000	1.690000	0.00	1.69	0.25
1405202501099315216100125340010000626700006267017	0993152161001	TUTI	14/05/2025	DETERGENTE EN POLVO	40000202001	1.000000	1.350000	0.00	1.35	0.20
1405202501179320113700120010020001692130000099912	1793201137001	MOSCOSO URIARTE CIA.LTDA.	14/05/2025	SUPER PREMIUM	0185	5.571	3.121739	0	17.39	2.61
0105202501179201292900120010030000233310002333111	1792012929001	REPRESENTACIONES VALERO	01/05/2025	DECORADO COCINA CUENCOS A GRIS	FRONTI021	33.000000	5.350000	0.00	176.55	26.48
1405202501019006231700120015010001840701133092210	0190062317001	CERAMICA RIALTO S.A.	14/05/2025	60X60 EMILIA GREY RECT CJ 1.44 M2	R414501317	84.00	10.6128	0.00	891.48	133.72
1405202501019006231700120015010001840701133092210	0190062317001	CERAMICA RIALTO S.A.	14/05/2025	Seguro de Transporte	SEGURO0001	1.00	1.9600	0.00	1.96	0.29
1405202501179201292900120010030000234140002341414	1792012929001	REPRESENTACIONES VALERO	14/05/2025	LISTELO SEÑORIAL CAFE	265861761	48.000000	1.070000	0.00	51.36	7.70
1405202501019006231700120015010001840691133092215	0190062317001	CERAMICA RIALTO S.A.	14/05/2025	22X90 OAKMONT MIELE RECT CJ 1.19 M2	M814701387	120.00	10.2221	0.00	1226.65	184.00
1405202501019006231700120015010001840691133092215	0190062317001	CERAMICA RIALTO S.A.	14/05/2025	Seguro de Transporte	SEGURO0001	1.00	2.6900	0.00	2.69	0.40
1405202501189175468600120010590000004561384059214	1891754686001	FRACTRUCKS S.A.	14/05/2025	SERVICIO DE TRANSPORTE	001	120.96	0.530000	0.00	64.11	0.00
1405202501189175468600120010590000004561384059214	1891754686001	FRACTRUCKS S.A.	14/05/2025	SERVICIO DE TRANSPORTE	001	142.8	0.580000	0.00	82.82	0.00
1405202501019034820200120031010001080263899904115	0190348202001	CORPORACION BP CIA LTDA	14/05/2025	* LUXURY PREMIUM UNDERMOUNT CALIFORNIA SATIN BLACK	BP03195	5.00	78.2500	77.93	313.32	47.00
1405202501170668949200120040030000076340000763416	1706689492001	CABRERA ORDONEZ JUAN BAUTISTA	14/05/2025	FUNDA DINA 5 NEGRA P-7	7861146800984	2	1.13043	0	2.26	0.34
1405202501170668949200120040030000076340000763416	1706689492001	CABRERA ORDONEZ JUAN BAUTISTA	14/05/2025	FUNDA DINA 6 NEGRA JUMBO	7861146801028	1	2.00000	0	2	0.3
1405202501170668949200120040030000076340000763416	1706689492001	CABRERA ORDONEZ JUAN BAUTISTA	14/05/2025	FUNDA P-5 LLAN NEG BX4.8	7861191228627	2	0.78261	0	1.57	0.23
1405202501179198775600120020010003468850099646414	1791987756001	CERAMIC CENTER CIA LTDA	14/05/2025	2060 SALICE GIALLO	06853	1.80	7.66	0.02	13.77	2.07
1505202501179128992700120010060247733511504334517	1791289927001	SEGUROS DEL PICHINCHA S.A. COMPAÑIA DE SEGUROS Y REASEGUROS	15/05/2025	Prima	1	1	4.40	0.00	4.40	0.00
1505202501179128992700120010060247733511504334517	1791289927001	SEGUROS DEL PICHINCHA S.A. COMPAÑIA DE SEGUROS Y REASEGUROS	15/05/2025	Derechos de emisión	2	1	0.04	0.00	0.04	0.00
1505202501179128992700120010060247733511504334517	1791289927001	SEGUROS DEL PICHINCHA S.A. COMPAÑIA DE SEGUROS Y REASEGUROS	15/05/2025	Contribución SCVS	3	1	0.15	0.00	0.15	0.00
1505202501179128992700120010060247733511504334517	1791289927001	SEGUROS DEL PICHINCHA S.A. COMPAÑIA DE SEGUROS Y REASEGUROS	15/05/2025	Seguro social campesino	4	1	0.02	0.00	0.02	0.00
1505202501099001121400120210140001260450000000214	0990011214001	Almacenes De Prati S.A.	15/05/2025	MAQUILLAJES DE CEJAS	15805744	1	14.28	0.00	14.28	2.14
1505202501179321815800120010040000014634219735210	1793218158001	RENNOVACONS SAS	15/05/2025	CERAMICA TORREJON GRIS 40*40 METRO	CERAMIC-92	22.0	8.217391	23.5	157.28	23.59
